t	counts	wl0	bth	t0	t1	OD
688.2	2066.3418					
688.8	2114.12695					
689.4	2156.11987					
690	2001.18042					
690.6	2160.46387					
691.2	2089.51025					
691.8	2102.54272					
692.4	1927.33069					
693	2088.06226					
693.6	2024.34888					
694.2	1985.25195					
694.8	2035.93311					
695.4	2047.51733					
696	2030.14099					
696.6	2008.42053					
697.2	2037.3811					
697.8	2067.78979					
698.4	1978.01184					
699	2011.31665					
699.6	2006.97241					
700.2	1937.46692					
700.8	2008.42053					
701.4	1938.91504					
702	2099.64648					
702.6	1922.98657					
703.2	2063.44556					
703.8	1934.5708					
704.4	2086.61426					
705	1957.73938					
705.6	1993.94019					
706.2	1904.16223					
706.8	1911.40234					
707.4	1941.81104					
708	1918.64258					
708.6	1909.95422					
709.2	1954.84326					
709.8	1989.59607					
710.4	2031.58899					
711	1886.78589					
711.6	1996.83618					
712.2	1892.57788					
712.8	1912.85034					
713.4	1996.83618					
714	1972.2196					
714.6	1928.77881					
715.2	1886.78589					
715.8	1878.09753					
716.4	1940.36304					
717	1909.95422					
717.6	1950.49927					
718.2	1846.24084					
718.8	1895.474					
719.4	1940.36304					
720	1886.78589					
720.6	1799.90393					
721.2	1863.61731					
721.8	1989.59607					
722.4	1901.26611					
723	1849.13696					
723.6	1789.7677					
724.2	1911.40234					
724.8	1912.85034					
725.4	1846.24084					
726	1865.06543					
726.6	1797.00781					
727.2	1867.9613					
727.8	1885.33777					
728.4	1852.03308					
729	1828.8645					
729.6	1852.03308					
730.2	1956.29138					
730.8	1854.9292					
731.4	1866.51331					
732	1947.60315					
732.6	1817.28027					
733.2	1746.32666					
733.8	1870.85742					
734.4	1818.72827					
735	1778.18347					
735.6	1705.78186					
736.2	1747.77478					
736.8	1786.87158					
737.4	1810.04016					
738	1821.62439					
738.6	1747.77478					
739.2	1744.87866					
739.8	1828.8645					
740.4	1757.91101					
741	1733.29443					
741.6	1788.31958					
742.2	1747.77478					
742.8	1778.18347					
743.4	1728.95032					
744	1778.18347					
744.6	1752.11877					
745.2	1718.81409					
745.8	1789.7677					
746.4	1695.64563					
747	1812.93628					
747.6	1659.4447					
748.2	1786.87158					
748.8	1669.58093					
749.4	1749.22278					
750	1656.54871					
750.6	1715.91809					
751.2	1726.05432					
751.8	1724.6062					
752.4	1781.07947					
753	1766.59912					
753.6	1756.46289					
754.2	1681.16528					
754.8	1740.53455					
755.4	1718.81409					
756	1692.74951					
756.6	1643.51648					
757.2	1631.93225					
757.8	1653.65271					
758.4	1613.10767					
759	1720.26208					
759.6	1637.72424					
760.2	1736.19055					
760.8	1582.69897					
761.4	1634.82813					
762	1662.34082					
762.6	1610.21167					
763.2	1666.68494					
763.8	1701.43774					
764.4	1647.86047					
765	1610.21167					
765.6	1678.26917					
766.2	1594.28333					
766.8	1697.09363					
767.4	1713.02197					
768	1618.8999					
768.6	1630.48413					
769.2	1697.09363					
769.8	1647.86047					
770.4	1562.42664					
771	1616.00378					
771.6	1591.38733					
772.2	1549.39429					
772.8	1656.54871					
773.4	1608.76367					
774	1459.61633					
774.6	1585.59509					
775.2	1546.49829					
775.8	1694.19751					
776.4	1524.77783					
777	1563.87463					
777.6	1663.78894					
778.2	1666.68494					
778.8	1616.00378					
779.4	1617.45178					
780	1546.49829					
780.6	1576.90698					
781.2	1579.8031					
781.8	1605.86755					
782.4	1589.93933					
783	1468.30457					
783.6	1565.32263					
784.2	1562.42664					
784.8	1574.01086					
785.4	1589.93933					
786	1555.18652					
786.6	1605.86755					
787.2	1490.02502					
787.8	1589.93933					
788.4	1559.53064					
789	1579.8031					
789.6	1516.0896					
